,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,ABC,1995-04-04,0.00595030154639,0.0059490693505,0.00575854329696,0.00598027024286,40387200,0.000983074924845,0.0,2.545774,0.0,501.850006,505.26001,501.850006,505.23999,330580000.0,505.23999
1,ABC,1995-04-05,0.00588700046611,0.0059490693505,0.00582252711137,0.00575878850272,12236800,0.000946666258477,-0.094284,2.498632,0.047142,505.269989,505.570007,503.170013,505.570007,315170000.0,505.570007
2,ABC,1995-04-06,0.00576039830555,0.00588644756786,0.00582252711137,0.00585370346258,3776000,0.000962269034819,0.040405,2.496386,0.004491,505.630005,507.100006,505.0,506.079987,320460000.0,506.079987
3,ABC,1995-04-07,0.00588700046611,0.00582382578522,0.00582252711137,0.00575878850272,1920800,0.000946666258477,-0.040405,2.485162,0.033672,506.130005,507.190002,503.589996,506.420013,314760000.0,506.420013
4,ABC,1995-04-10,0.00576039830555,0.00582382578522,0.00582252711137,0.00582207189286,2047200,0.00095706901041,0.026939,2.483815,0.005386,506.299988,507.01001,504.609985,507.01001,260980000.0,507.01001
5,ABC,1995-04-11,0.00576039830555,0.00582382578522,0.00582252711137,0.00579044032313,4096800,0.000951869372162,-0.013465,2.480673,0.015709,507.23999,508.850006,505.290009,505.529999,310660000.0,505.529999
6,ABC,1995-04-12,0.00576039830555,0.00576120400259,0.00582252711137,0.00579044032313,2457600,0.000951869372162,0.0,2.478429,0.013465,505.589996,507.170013,505.070007,507.170013,327880000.0,507.170013
7,ABC,1995-04-13,0.00576039830555,0.00576120400259,0.00582252711137,0.00582207189286,2297600,0.00095706901041,0.013465,2.478429,0.0,507.190002,509.829987,507.170013,509.230011,301580000.0,509.230011
8,ABC,1995-04-17,0.00576039830555,0.00591774843969,0.00582252711137,0.00598027024286,2233600,0.000983074924845,0.067345,2.485912,0.059862,509.230011,512.030029,505.429993,506.130005,333930000.0,506.130005
9,ABC,1995-04-18,0.0058553397978,0.00591774843969,0.00588651092578,0.00594863867314,2441600,0.000977874900437,-0.013466,2.490552,0.041756,506.429993,507.649994,504.119995,505.369995,344680000.0,505.369995
10,ABC,1995-04-19,0.00582369938583,0.00582382578522,0.00575854329696,0.00575878850272,1422400,0.000946666258477,-0.080818,2.487001,0.029634,505.369995,505.890015,501.190002,504.920013,378050000.0,504.920013
11,ABC,1995-04-20,0.00569709722527,0.00563596043731,0.00556659185373,0.00553730676257,1023200,0.000910257592109,-0.094284,2.476185,0.11449,504.920013,506.5,503.440002,505.290009,368450000.0,505.290009
12,ABC,1995-04-21,0.00550719398443,0.00563596043731,0.00556659185373,0.00566387354285,2803200,0.000931063482135,0.053879,2.471177,0.05253,505.630005,508.48999,505.630005,508.48999,403250000.0,508.48999
13,ABC,1995-04-24,0.00557049506471,0.00563596043731,0.00563057566814,0.0055689383323,644800,0.000915457230358,-0.040414,2.463998,0.084862,508.48999,513.02002,507.440002,512.890015,326280000.0,512.890015
14,ABC,1995-04-25,0.00557049506471,0.00563596043731,0.00563057566814,0.00569550511258,484800,0.000936263120384,0.053879,2.461368,0.025595,512.799988,513.539978,511.320007,512.099976,351790000.0,512.099976
15,ABC,1995-04-26,0.00557049506471,0.00563596043731,0.00563057566814,0.0055689383323,151200,0.000915457230358,-0.053879,2.455699,0.070045,511.98999,513.039978,510.470001,512.659973,350810000.0,512.659973
16,ABC,1995-04-27,0.00557049506471,0.00563596043731,0.00563057566814,0.00563222172244,3552000,0.000925860368451,0.02694,2.452282,0.03637,512.700012,513.619995,511.630005,513.549988,350850000.0,513.549988
17,ABC,1995-04-28,0.00563379614499,0.00563596043731,0.00566255733793,0.00560056990202,1076000,0.000920657254766,-0.013474,2.448496,0.040415,513.640015,515.289978,510.899994,514.710022,320440000.0,514.710022
18,ABC,1995-05-01,0.00569709722527,0.00563596043731,0.00566255733793,0.00560056990202,2287200,0.000920657254766,0.0,2.445109,0.024251,514.76001,515.599976,513.419983,514.26001,296830000.0,514.26001
19,ABC,1995-05-02,0.00560213547667,0.00579250487442,0.00566255733793,0.00575878850272,1212000,0.000946666258477,0.067353,2.445428,0.051184,514.22998,515.179993,513.030029,514.859985,302560000.0,514.859985
20,ABC,1995-05-03,0.00569709722527,0.00579250487442,0.00569455948255,0.00579044032313,791200,0.000951869372162,0.013474,2.446358,0.063311,514.929993,520.539978,514.859985,520.47998,392370000.0,520.47998
21,ABC,1995-05-04,0.00576039830555,0.00579250487442,0.00575854329696,0.00569550511258,1011200,0.000936263120384,-0.040414,2.445367,0.016163,520.47998,525.400024,519.440002,520.539978,434990000.0,520.539978
22,ABC,1995-05-05,0.00569709722527,0.00576120400259,0.00575854329696,0.00569550511258,164000,0.000936263120384,0.0,2.444462,0.014817,520.75,522.349976,518.280029,520.119995,342380000.0,520.119995
23,ABC,1995-05-08,0.00569709722527,0.00579250487442,0.00575854329696,0.00569550511258,59200,0.000936263120384,0.0,2.443632,0.009429,520.090027,525.150024,519.140015,523.960022,291810000.0,523.960022
24,ABC,1995-05-09,0.00569709722527,0.00569858221995,0.00559859399834,0.0055689383323,592800,0.000915457230358,-0.053879,2.440714,0.039062,523.960022,525.98999,521.789978,523.559998,361300000.0,523.559998
25,ABC,1995-05-10,0.00569709722527,0.00563596043731,0.00559859399834,0.0055689383323,817600,0.000915457230358,0.0,2.43802,0.039062,523.73999,524.400024,521.530029,524.359985,381990000.0,524.359985
26,ABC,1995-05-11,0.00557049506471,0.00563596043731,0.00559859399834,0.0055689383323,615200,0.000915457230358,0.0,2.435526,0.036368,524.330017,524.890015,522.700012,524.369995,339900000.0,524.369995
27,ABC,1995-05-12,0.00569709722527,0.00563596043731,0.00559859399834,0.0055689383323,1013600,0.000915457230358,0.0,2.43321,0.035021,524.369995,527.049988,523.299988,525.549988,361000000.0,525.549988
28,ABC,1995-05-15,0.0056654568133,0.00560465956548,0.00553458970911,0.00547400312175,3689600,0.00089985136474,-0.040413,2.42966,0.070046,525.549988,527.73999,525.0,527.73999,316240000.0,527.73999
29,ABC,1995-05-16,0.00547553331611,0.00547941600021,0.00553458970911,0.00550565494216,2481600,0.000905054478425,0.013474,2.426796,0.045796,527.73999,529.080017,526.450012,528.190002,366180000.0,528.190002
30,ABC,1995-05-17,0.00553885465274,0.00547941600021,0.00553458970911,0.00548983890416,328000,0.00090245446622,-0.006733,2.423899,0.039732,528.190002,528.419983,525.380005,527.070007,347930000.0,527.070007
31,ABC,1995-05-18,0.00547553331611,0.0054480950894,0.00531065659609,0.00534743634147,514400,0.000879045474714,-0.06062,2.419289,0.085535,526.880005,526.880005,519.580017,519.580017,351900000.0,519.580017
32,ABC,1995-05-19,0.00531729074358,0.00529153061332,0.00531065659609,0.00528417320201,1853600,0.000868645812057,-0.026931,2.414142,0.094956,519.580017,519.580017,517.070007,519.190002,354010000.0,519.190002
33,ABC,1995-05-22,0.00534893115555,0.00532285152413,0.00531065659609,0.00537908816188,432800,0.000884248588398,0.040405,2.410486,0.041081,519.190002,524.340027,519.190002,523.650024,285600000.0,523.650024
34,ABC,1995-05-23,0.0052539896633,0.00554201774387,0.00531065659609,0.0055689383323,809600,0.000915457230358,0.080818,2.409348,0.039737,523.650024,528.590027,523.650024,528.590027,362690000.0,528.590027
